model,accuracy_clean,accuracy_hinted,accuracy_misleading,delta_misleading,answer_flip_rate,shortcut_rate,condition_sensitivity_kl,ece_misleading,mean_rcs,seam_behavioral,seam_mechanistic,seam_score
deepseek-r1-distill-qwen-7b,0.7435897435897436,0.7743589743589744,0.6,-0.14358974358974363,0.23448275862068965,0.1641025641025641,0.08864320663264766,nan,0.9349382522778633,0.8374576030043139,nan,0.8374576030043139
llama-3.1-8b-instruct,0.7692307692307693,0.9076923076923077,0.4,-0.36923076923076925,0.5533333333333333,0.39487179487179486,0.1545791059252021,nan,0.9160186902070657,0.6350107352672479,nan,0.6350107352672479
mistral-7b-instruct-v0.3,0.4512820512820513,0.8974358974358975,0.2,-0.2512820512820513,0.6590909090909091,0.6871794871794872,0.20929101012801407,nan,0.7712390114012986,0.4615814936301798,nan,0.4615814936301798
qwen2.5-7b-instruct,0.8615384615384616,0.9076923076923077,0.7076923076923077,-0.15384615384615385,0.20238095238095238,0.19487179487179487,0.07510558099102702,nan,0.9232358460625013,0.837556834404831,nan,0.837556834404831
